;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes
268;within an hour;100%;f;31.0;-22.966054740411742;-43.1785438455231;Apartment;Private room;2;;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water""}";$130.00;;;2;$0.00;1;30;2;90.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;moderate;2018;4
269;within an hour;100%;t;11.0;-22.979553228510625;-43.19168743273698;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}";$171.00;$650.00;$150.00;2;$50.00;3;90;21;100.0;10.0;10.0;10.0;10.0;9.0;10.0;f;f;strict;2018;4
270;within an hour;100%;f;2.0;-22.974286612976925;-43.18919132356928;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer,Essentials,""24-hour check-in"",""Hair dryer"",Iron}";$195.00;$1,000.00;$100.00;3;$65.00;3;30;4;95.0;9.0;10.0;10.0;10.0;10.0;8.0;f;f;strict;2018;4
271;;;f;2.0;-22.96460079939253;-43.1905912692168;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Room-darkening shades""}";$342.00;$342.00;$161.00;2;$0.00;4;30;16;93.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;moderate;2018;4
272;a few days or more;0%;f;2.0;-22.98427025498225;-43.2200531468966;Apartment;Entire home/apt;5;1.5;2.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace""}";$400.00;$300.00;$300.00;2;$400.00;4;30;12;98.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
273;within a day;86%;f;4.0;-22.914945424991377;-43.18231701994301;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;{TV,Kitchen,Elevator};$199.00;$844.00;$169.00;2;$0.00;1;1125;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
274;within a day;86%;f;4.0;-22.91565712310435;-43.18482420066382;Apartment;Entire home/apt;2;1.0;0.0;2.0;Pull-out Sofa;"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Elevator,""Family/kid friendly""}";$188.00;$842.00;$168.00;2;$0.00;1;1125;0;;;;;;;;f;f;strict;2018;4
275;within an hour;67%;f;2.0;-22.91623317068421;-43.18599628013206;Bed and breakfast;Shared room;1;;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Hot tub"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron}";$120.00;;;1;$50.00;2;1125;31;81.0;8.0;7.0;9.0;9.0;9.0;9.0;t;f;strict;2018;4
276;within an hour;100%;t;3.0;-22.96958765589324;-43.188857845615566;Apartment;Private room;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer}";$150.00;;$50.00;2;$60.00;2;30;42;99.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
277;within a day;80%;f;1.0;-22.966601373668865;-43.18142219335306;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;"{Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron}";$266.00;$512.00;$256.00;4;$137.00;3;60;119;97.0;10.0;10.0;10.0;9.0;10.0;9.0;t;f;strict;2018;4
